Barack Obama,"January 12, 2017","Executive Order 13760—Exclusions from the Federal Labor-Management Relations Program"
Barack Obama,"January 12, 2017","Executive Order 13758—Amending Executive Order 11016 to Update Eligibility Criteria for Award of the Purple Heart"
Barack Obama,"January 12, 2017","Executive Order 13759—Designating the World Organisation for Animal Health as a Public International Organization Entitled To Enjoy Certain Privileges Exemptions and Immunities"
Barack Obama,"January 13, 2017","Executive Order 13763—Providing an Order of Succession Within the Environmental Protection Agency"
Barack Obama,"January 13, 2017","Executive Order 13762—Providing an Order of Succession Within the Department of Justice"
Barack Obama,"January 13, 2017","Executive Order 13761—Recognizing Positive Actions by the Government of Sudan and Providing for the Revocation of Certain Sudan-Related Sanctions"
Barack Obama,"January 17, 2017","Executive Order 13764—Amending the Civil Service Rules Executive Order 13488 and Executive Order 13467 To Modernize the Executive Branch-Wide Governance Structure and Processes for Security Clearances Suitability and Fitness for Employment and Credentialing and Related Matters"
Donald J. Trump,"January 20, 2017","Executive Order 13765—Minimizing the Economic Burden of the Patient Protection and Affordable Care Act Pending Repeal"
Donald J. Trump,"January 24, 2017","Executive Order 13766—Expediting Environmental Reviews and Approvals for High-Priority Infrastructure Projects"
Donald J. Trump,"January 25, 2017","Executive Order 13767—Border Security and Immigration Enforcement Improvements"
Donald J. Trump,"January 25, 2017","Executive Order 13768—Enhancing Public Safety in the Interior of the United States"
Donald J. Trump,"January 27, 2017","Executive Order 13769—Protecting the Nation From Foreign Terrorist Entry Into the United States"
Donald J. Trump,"January 28, 2017","Executive Order 13770—Ethics Commitments by Executive Branch Appointees"
Donald J. Trump,"January 30, 2017","Executive Order 13771—Reducing Regulation and Controlling Regulatory Costs"
Donald J. Trump,"February 3, 2017","Executive Order 13772—Core Principles for Regulating the United States Financial System"
Donald J. Trump,"February 9, 2017","Executive Order 13776—Task Force on Crime Reduction and Public Safety"
Donald J. Trump,"February 9, 2017","Executive Order 13774—Preventing Violence Against Federal State Tribal and Local Law Enforcement Officers"
Donald J. Trump,"February 9, 2017","Executive Order 13773—Enforcing Federal Law With Respect to Transnational Criminal Organizations and Preventing International Trafficking"
Donald J. Trump,"February 9, 2017","Executive Order 13775—Providing an Order of Succession Within the Department of Justice"
Donald J. Trump,"February 24, 2017","Executive Order 13777—Enforcing the Regulatory Reform Agenda"
Donald J. Trump,"February 28, 2017","Executive Order 13778—Restoring the Rule of Law Federalism and Economic Growth by Reviewing the "Waters of the United States" Rule"
Donald J. Trump,"February 28, 2017","Executive Order 13779—White House Initiative To Promote Excellence and Innovation at Historically Black Colleges and Universities"
Donald J. Trump,"March 6, 2017","Executive Order 13780—Protecting the Nation From Foreign Terrorist Entry Into the United States"
Donald J. Trump,"March 13, 2017","Executive Order 13781—Comprehensive Plan for Reorganizing the Executive Branch"
Donald J. Trump,"March 27, 2017","Executive Order 13782—Revocation of Federal Contracting Executive Orders"
Donald J. Trump,"March 28, 2017","Executive Order 13783—Promoting Energy Independence and Economic Growth"
Donald J. Trump,"March 29, 2017","Executive Order 13784—Establishing the President's Commission on Combating Drug Addiction and the Opioid Crisis"
Donald J. Trump,"March 31, 2017","Executive Order 13786—Omnibus Report on Significant Trade Deficits"
Donald J. Trump,"March 31, 2017","Executive Order 13785—Establishing Enhanced Collection and Enforcement of Antidumping and Countervailing Duties and Violations of Trade and Customs Laws"
